รหัสสถานี,ชื่อผู้ได้รับใบอนุญาต,ชื่อสถานี,ความถี่,ประเภทบริการ/กิจการ,สถานะใบอนุญาต ปี 2567 (eBcs),อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,ตรวจสอบมาตรฐาน 2566 ,ตรวจสอบมาตรฐาน 2567 ,ตรวจการแพร่แปลกปลอม ,ยื่นคำขอ 10/1/68   ,หมายเหตุ
05520168,สำนักงานคณะกรรมการการอาชีวศึกษา,เพื่อการศึกษาและพัฒนาอาชีพ (R-Radio Network) วิทยาลัยการอาชีพชุมพวง,105.5,บริการสาธารณะ,ได้รับอนุญาต,ชุมพวง,นครราชสีมา,15.339978,102.726708,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-11-21 00:00:00,
05520264,ห้างหุ้นส่วนจำกัด ชมรม อ.ส.ม. อ.คง,อ.ส.ม.อำเภอคง,105.5,บริการธุรกิจ,ได้รับอนุญาต,คง,นครราชสีมา,15.442326,102.328705,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-16 00:00:00,
05520212,ห้างหุ้นส่วนจำกัด ศักดิ์กัญญา,ยูนิเวิร์สเอฟเอ็ม,105.75,บริการธุรกิจ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,14.95178,102.056662,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-12-26 00:00:00,
05520117,ห้างหุ้นส่วนจำกัด เสียงชนเสรี,เสียงชนเสรี,106.0,บริการธุรกิจ,ได้รับอนุญาต,คง,นครราชสีมา,15.491676,102.092729,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,-,
05550025,มูลนิธิพุทธอเนกประสงค์วัดสังฆทาน,สถานีวิทยุสังฆทานธรรม คลื่นขาวของชาวพุทธ อ.สีคิ้ว จ.นครราชสีมา,106.75,บริการสาธารณะ,ยกเลิก,สีคิ้ว,นครราชสีมา,14.808415,101.568841,,,,,ตามมติ กสทช. 1/2567 ลว 10 ม.ค. 2567
05520183,ห้างหุ้นส่วนจำกัด ปักธงชัย 888,ปักธงชัย เรดิโอ,107.0,บริการธุรกิจ,ได้รับอนุญาต,ปักธงชัย,นครราชสีมา,14.729488,102.02541,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520162,ห้างหุ้นส่วนจำกัด กัญจิราพร เรดิโอ,พลนคร,107.0,บริการธุรกิจ,ได้รับอนุญาต,พิมาย,นครราชสีมา,15.166564,102.508856,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-18 00:00:00,
02521043,บริษัท จัดจ้าน คอร์ปอเรชั่น จำกัด,ID RADIO,107.0,บริการธุรกิจ,ได้รับอนุญาต,ปากช่อง,นครราชสีมา,14.679894,101.649089,,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,-,
05520029,ห้างหุ้นส่วนจำกัด คนโคราช เรดิโอ,คนโคราช,107.5,บริการธุรกิจ,ได้รับอนุญาต,เมืองนครราชสีมา,นครราชสีมา,14.927391,101.966271,,,ยังไม่ตรวจ,-,
05520079,ห้างหุ้นส่วนจำกัด กัญญา เค.พี.,คลองหินลาด,107.5,บริการธุรกิจ,ได้รับอนุญาต,ปากช่อง,นครราชสีมา,14.614451,101.503827,ตรงตามมาตรฐาน,,ตรวจปี 2567 แล้ว,2567-12-23 00:00:00,
05520022,ห้างหุ้นส่วนจำกัด ดีดีพี ไลท์แอนด์ซาวด์,คงคนครพิทักษ์,107.75,บริการธุรกิจ,ได้รับอนุญาต,คง,นครราชสีมา,15.446891,102.33387,ตรงตามมาตรฐาน,ตรงตามมาตรฐาน,ตรวจปี 2567 แล้ว,2567-12-26 00:00:00,
